station_id,latitude,longitude
720,-25.76,28.27
2193,49.1036,-93.9198
2490,50.642792,2.983597
3777,49.270828,8.696792
1295,49.2269,6.9714
2402,-22.555,28.9501
1719,-1.9449,30.0623
1681,52.2674,4.5457
2034,52.2722,4.5469
3715,46.501,6.5308
38,-24.2889,15.2605
73,0.3606,36.782
2458,38.8692,-78.1976
1009,6.2733,34.3858
955,29.127194,30.181
4309,40.3376,-74.0516
5308,45.7072,13.7712
5177,47.1334,8.1949
4963,-24.648199,28.6689
5665,-20.1218,57.7543
5731,-33.520496,26.243942
6477,-25.8479,28.2315
7152,-26.1706,28.1111
7416,-26.1824,28.3164
7505,50.9264,3.4657
7381,-34.193455,18.405031
7380,-33.7941,19.7779
3240,-33.520653,26.243879
7754,-24.386391,30.94475
8196,13.0913,-16.7635
8131,-33.3567,26.2088
8752,-33.344753,26.567497
8913,-25.6789,28.2173
10418,-17.815,31.0478
9591,-25.3449,27.0547
5729,-33.508915,26.243917
11858,-33.9928,25.6562
2550,-25.2897,31.0017
2211,40.4166,-86.8974
3964,33.731892,-84.355545
960,13.9279,100.1443
4030,31.1739,120.9653
2342,37.341057,-121.764824
972,13.6639,100.6051
3621,19.8366,102.1872
2587,22.2113,113.5384
2806,22.758236,113.853722
924,53.594,10.1008
3775,22.555901,114.057701
4057,17.44038,78.383858
3620,19.926901,102.270302
3965,22.555901,114.057701
3034,49.2549,-123.139
12,35.4106,138.8611
118,30.5723,104.0665
24,22.5726,88.3639
66,36.6485,138.195
242,33.5044,126.5352
3,39.3583,141.9005
34,43.2203,142.8635
68,35.9916,139.0856
3978,11.2051,76.8962
2791,12.979,80.1986
3056,22.8336,111.1882
1472,22.555901,114.057701
4386,7.7933,98.3209
4471,35.792,139.5296
4550,39.911,116.395
4533,22.555901,114.057701
4429,5.4523,100.2909
4271,22.555901,114.057701
4270,22.555901,114.057701
3051,35.099098,128.869598
1481,-30.366,153.098
2802,19.4617,72.8096
5349,25.1078,102.741
4987,35.5711,139.4592
5361,25.1134,102.7401
4682,31.2124,121.5937
5351,25.1136,102.7401
5350,25.1134,102.74
2525,43.4598,-79.6824
2036,13.6595,100.4661
4733,34.888802,32.353901
5496,35.7227,139.67
5757,30.5676,103.9776
6009,42.8346,74.6084
5855,52.95293,-1.172312
5764,31.8744,120.5946
5428,5.4424,100.292
5602,25.079,102.7253
5613,25.1856,102.7565
1802,13.0041,80.2707
5362,28.0644,38.802
6977,17.005199,99.395164
6821,24.8797,102.833
3212,40.832623,111.761841
6764,45.555,84.9595
6610,40.0403,116.4105
6872,-8e-04,0.0039
6824,22.5331,113.9247
