station_id,latitude,longitude,batch_id
6361,29.851574,-98.265648,106
6362,38.103516,-121.288475,106
6363,30.530241,-87.899193,106
6364,49.446995,-124.702629,106
6365,38.5728,-85.9566,106
6366,30.05793,-95.645676,106
6367,30.369156,-97.824516,106
6368,26.835228,-81.999908,106
6369,43.109337,-77.567307,106
6370,41.3099,-95.8566,106
6371,35.974014,-85.425552,106
6372,45.5186,-72.5,106
6373,30.7447,-98.3613,106
6374,27.863899,-82.165802,106
6375,51.29982,-117.056732,106
6376,39.2566,-106.9128,106
6377,27.4818,-80.297401,106
6378,42.369862,-71.50119,106
6379,27.1423,-80.1881,106
6380,49.663586,-112.807625,106
6381,30.6584,-96.3133,106
6382,30.4558,-91.0526,106
6383,47.564667,-122.104973,106
6384,33.8067,-118.0871,106
6385,40.410168,-77.315781,106
6386,35.234581,-89.72953,106
6387,35.555,-81.9022,106
6388,39.9412,-86.110603,106
6389,42.4223,-76.45,106
6390,27.9568,-82.49,106
6391,44.947601,-93.514023,106
6392,44.5989,-123.4165,106
6393,40.1304,-75.1102,106
6394,41.6378,-72.1073,106
6395,42.9246,-89.197,106
6396,37.342144,-121.869041,106
6397,35.0627,-77.0795,106
6398,42.2874,-83.7444,106
6399,44.925381,-116.083481,106
6400,30.3076,-97.473,106
6401,33.5524,-111.912,106
6402,36.8832,-80.2494,106
6403,34.8951,-82.2854,106
6404,31.52809,-97.214828,106
6405,29.7812,-95.76,106
6406,30.121824,-97.82798,106
6407,35.44405,-82.580193,106
6408,43.82299,-69.602768,106
6409,37.015152,-88.333763,106
6410,47.841076,-122.314117,106
6411,30.11223,-98.648605,106
6412,36.124886,-82.100777,106
6413,42.690044,-71.684448,106
6414,33.373371,-112.108124,106
6415,30.3034,-95.5577,106
6416,34.8586,-111.7588,106
6417,40.7794,-96.6468,106
6418,25.713573,-80.298714,106
6419,44.8006,-91.4434,106
6420,32.434708,-110.966515,106
