station_id,latitude,longitude,batch_id
1861,30.3629,-9.5844,31
1862,55.0035,-1.424,31
1863,51.8684,4.3166,31
1864,43.129101,-4.728,31
1865,51.9056,-8.4596,31
1866,47.2568,8.7695,31
1867,43.2447,5.41,31
1868,48.537,9.2809,31
1869,44.649437,-1.191615,31
1870,51.842838,4.14996,31
1871,47.633,11.2148,31
1872,47.2568,8.7695,31
1873,50.901966,3.124392,31
1874,51.3566,7.4862,31
1875,35.0134,24.8056,31
1876,48.4798,9.0043,31
1877,49.8605,24.0175,31
1878,52.4593,4.6086,31
1879,53.20945,5.91556,31
1880,52.5093,13.3166,31
1881,53.1429,6.5666,31
1882,46.980049,8.343403,31
1883,49.4576,1.0961,31
1884,50.8192,5.172,31
1885,52.258457,5.254572,31
1886,52.159935,5.38614,31
1887,52.0559,4.3185,31
1888,51.41,-2.5016,31
1889,52.4989,13.3701,31
1890,52.155258,5.37511,31
1891,55.460178,12.177723,31
1892,48.9421,2.8626,31
1893,52.4427,5.95,31
1894,52.818546,6.916985,31
1895,53.0018,10.0856,31
1896,51.1918,3.6359,31
1897,56.4614,-2.9681,31
1898,54.979832,12.04943,31
1899,51.827145,5.875633,31
1900,52.9684,-2.8106,31
1901,43.7355,1.4649,31
1902,52.0432,1.1728,31
1903,51.760654,-0.58026,31
1904,47.713169,13.09251,31
1905,52.049,5.081,31
1906,51.016,4.2184,31
1907,44.0545,12.5686,31
1908,55.822,-3.2158,31
1909,44.4667,11.555,31
1910,52.844,6.8804,31
1911,52.335732,1.67178,31
1912,50.8082,-3.2919,31
1913,48.7632,11.4142,31
1914,49.653824,6.306891,31
1915,53.027409,8.729635,31
1916,53.6258,-1.1366,31
1917,53.209251,5.915792,31
1918,49.3747,8.6885,31
1919,49.9114,2.3152,31
1920,54.1444,-2.5349,31
