station_id,latitude,longitude,batch_id
5881,22.174915,-159.434372,98
5882,45.525,-122.8443,98
5883,44.722134,-70.048805,98
5884,32.626,-80.1382,98
5885,42.045139,-72.363457,98
5886,39.641113,-76.327126,98
5887,42.4588,-71.1938,98
5888,39.2704,-76.784,98
5889,42.1082,-73.5412,98
5890,40.3061,-75.1483,98
5891,35.6394,-82.5578,98
5892,47.7924,-122.1362,98
5893,42.1068,-71.2088,98
5894,42.1792,-71.1734,98
5895,41.6809,-86.2022,98
5896,46.316441,-119.269241,98
5897,37.654652,-120.931465,98
5898,48.7574,-64.3914,98
5899,40.941,-72.906,98
5900,47.5046,-122.6972,98
5901,37.7548,-122.4598,98
5902,42.749733,-78.534866,98
5903,39.6038,-85.9062,98
5904,42.9985,-73.9995,98
5905,45.282616,-73.24086,98
5906,35.02002,-85.252663,98
5907,8.761487,-82.44352,98
5908,32.253803,-80.724548,98
5909,42.9518,-78.8292,98
5910,30.116192,-97.818619,98
5911,51.120178,-103.335838,98
5912,40.3302,-74.3074,98
5913,44.436569,-122.704002,98
5914,42.1856,-71.4648,98
5915,33.997,-117.7325,98
5916,25.7384,-80.2432,98
5917,42.5108,-83.8352,98
5918,36.3784,-93.7624,98
5919,37.8816,-122.2732,98
5920,41.92,-74.0136,98
5921,33.150002,-100.226044,98
5922,39.766449,-75.515457,98
5923,42.972034,-85.454857,98
5924,32.602432,-80.088463,98
5925,39.837284,-75.079231,98
5926,37.367,-121.807,98
5927,29.5242,-98.63,98
5928,20.007099,-155.809006,98
5929,30.436058,-91.072556,98
5930,29.773966,-94.846985,98
5931,30.350676,-97.772018,98
5932,35.717751,-106.007713,98
5933,42.9612,-88.3594,98
5934,43.03109,-89.424492,98
5935,42.4578,-79.2326,98
5936,42.1556,-71.7974,98
5937,38.903084,-83.416374,98
5938,38.8978,-77.2885,98
5939,42.9641,-88.3599,98
5940,30.358303,-90.066818,98
