station_id,latitude,longitude,batch_id
6421,39.0968,-76.4673,107
6422,44.9279,-93.3222,107
6423,34.711514,-82.875359,107
6424,38.566097,-90.454063,107
6425,44.4732,-89.5339,107
6426,45.400051,-122.253418,107
6427,42.198555,-88.209702,107
6428,43.322468,-87.955238,107
6429,34.8388,-111.8788,107
6430,47.130775,-88.401848,107
6431,37.6522,-120.9819,107
6432,40.0788,-83.119,107
6433,39.007534,-105.343941,107
6434,44.764317,-93.173294,107
6435,36.5801,-86.5141,107
6436,47.504971,-94.063255,107
6437,43.928143,-79.698242,107
6438,49.6809,-124.8989,107
6439,53.255508,-105.761917,107
6440,27.767326,-98.052368,107
6441,43.015163,-88.145996,107
6442,35.2802,-82.0805,107
6443,40.51614,-83.902901,107
6444,42.871,-88.2176,107
6445,39.895695,-85.966431,107
6446,45.353985,-75.349205,107
6447,45.5469,-122.663,107
6448,33.8498,-116.5571,107
6449,43.506172,-80.233505,107
6450,40.5075,-78.0865,107
6451,39.2727,-76.1647,107
6452,36.5259,-82.5221,107
6453,29.630436,-95.792961,107
6454,30.131083,-95.48613,107
6455,41.3506,-73.9032,107
6456,33.1298,-117.073,107
6457,42.967602,-85.643494,107
6458,37.659897,-121.85347,107
6459,33.8479,-116.5361,107
6460,33.221088,-111.829018,107
6461,41.3266,-79.1978,107
6462,39.081154,-77.512344,107
6463,34.270294,-89.701645,107
6464,40.455338,-74.440788,107
6465,43.28,-80.392,107
6466,47.6706,-122.1712,107
6467,42.5558,-88.0202,107
6468,42.749794,-73.894333,107
6469,41.1684,-73.8498,107
6470,43.337,-70.943,107
6471,37.4365,-77.4807,107
6472,35.3936,-80.7448,107
6473,38.4476,-78.8698,107
6474,38.9262,-76.5494,107
6475,41.247,-77.2706,107
6476,42.4568,-71.3866,107
6477,45.050598,-87.658249,107
6478,27.396257,-82.48069,107
6479,43.2342,-86.2484,107
6480,38.53,-121.9826,107
